document,program,safe,yucca,problem,sci,storage,trans,Year,Congress
PWO.1978.ohalloran.txt,0.188631264,0.050411369,0.106955871,0.200149589,0.046222887,0.286013463,0.121615557,1978,95
PWO.1978.gilinsky2.txt,0.231684982,0.186813187,0.084249084,0.122710623,0.10989011,0.154761905,0.10989011,1978,95
PWO.1978.roisman.txt,0.231778426,0.095724004,0.075315841,0.275996113,0.095724004,0.160349854,0.065111759,1978,95
PWO.1978.donahoe.txt,0.247550284,0.321557504,0.021918515,0.103145952,0.088705518,0.144662197,0.072460031,1978,95
PWO.1978.hawkins.txt,0.264030612,0.411352041,0.076530612,0.054209184,0.049744898,0.094387755,0.049744898,1978,95
PWO.1978.taylor.txt,0.273878338,0.167905312,0.052298376,0.189099917,0.08120011,0.129369667,0.10624828,1978,95
PWO.1978.deutch.txt,0.285380507,0.119492657,0.049399199,0.149866489,0.072763685,0.262016021,0.061081442,1978,95
PWO.1978.oleary.txt,0.286281179,0.155328798,0.107709751,0.159297052,0.075963719,0.155328798,0.060090703,1978,95
PWO.1978.gilinsky1.txt,0.298681319,0.184835165,0.034065934,0.052527473,0.035604396,0.355604396,0.038681319,1978,95
PWO.1978.canfield.txt,0.304147465,0.332373272,0.037211982,0.017050691,0.027534562,0.250921659,0.030760369,1978,95
PWO.1978.edwards.txt,0.37184874,0.059014515,0.076394194,0.155271199,0.020244461,0.223453018,0.093773873,1978,95
PWO.1978.hendrie.txt,0.405197777,0.217554757,0.018470088,0.023046747,0.060804184,0.210689768,0.064236679,1978,95
PWO.1978.bostian.txt,0.405723517,0.100392338,0.06808216,0.069697669,0.066466651,0.182783291,0.106854373,1978,95
PWO.1978.howard.txt,0.421499293,0.070014144,0.119519095,0.060113154,0.065063649,0.159123055,0.10466761,1978,95
SGA.1978.giletti.txt,0.020659341,0.150915751,0.025787546,0.094505495,0.622710623,0.038095238,0.047326007,1978,95
SGA.1978.smith.txt,0.102869353,0.040903541,0.068681319,0.100732601,0.517399267,0.100732601,0.068681319,1978,95
SGA.1978.keeton.txt,0.115213609,0.06649913,0.05973323,0.193698048,0.098975449,0.115213609,0.350666924,1978,95
SGA.1978.peach.txt,0.148985063,0.126196859,0.079279969,0.024320184,0.061853696,0.522979701,0.036384527,1978,95
SGA.1978.hebel.txt,0.156770186,0.083726708,0.045465839,0.080248447,0.466335404,0.111552795,0.055900621,1978,95
SGA.1978.deutch.txt,0.285714286,0.141846361,0.115902965,0.101752022,0.047506739,0.210242588,0.09703504,1978,95
SGA.1978.shealy.txt,0.291914683,0.324900794,0.048859127,0.095734127,0.048859127,0.045386905,0.144345238,1978,95
SGA.1978.tamplin.txt,0.342781557,0.084845049,0.059712774,0.133786848,0.031934996,0.303099017,0.043839758,1978,95
SGA.1978.edwards.txt,0.347374255,0.093252044,0.044755439,0.103921297,0.029236525,0.258140502,0.123319939,1978,95
SGA.1978.charnoff.txt,0.386072709,0.06588155,0.056323605,0.083802697,0.143539853,0.209250725,0.055128862,1978,95
SGA.1978.oleary.txt,0.386292017,0.112394958,0.077468487,0.038865546,0.073792017,0.268644958,0.042542017,1978,95
SGA.1978.hendrie.txt,0.398708636,0.246166263,0.085149314,0.051251009,0.054075868,0.054075868,0.110573043,1978,95
